id,regulations,control,category,surface,tools,evidence,sectors,notes
r001,APRA CPS 234; ASD Essential 8; ISO/IEC 27001; SOCI Act 2018+,Workload identity (no static long-lived credentials),Identity & access,Cloud · CI/CD · K8s,"AWS IAM Roles for Service Accounts / IRSA (managed, AWS); GCP Workload Identity Federation (managed, GCP); Azure Federated Credentials (OIDC) (managed, Azure); SPIFFE / SPIRE (oss, CNCF); GitHub Actions OIDC (managed, GitHub)",IAM policy export showing zero static long-lived credentials in the path. OIDC trust policy showing federated identity provider configured. Rotation logs from any remaining service accounts (target: none in 12 months).,banks; government; critical-infrastructure,"Often confused with credential rotation — rotation alone doesn't close the audit finding. The control requires federated identity (the workload proves who it is to the cloud), not just shorter-lived static creds. Foundation for SOCI 2022 SLACIP-amendment maturity."
r002,APRA CPS 234; ISO/IEC 27001; NIST SP 800-53,Least-privilege IAM (no wildcard policies),Identity & access,Cloud · K8s,"AWS IAM Access Analyzer (managed, AWS); GCP IAM Recommender (managed, GCP); Azure Entra Permission Management (managed, Azure); Cloudsplaining (oss, Salesforce); Policy Sentry (oss, Salesforce)","Static + runtime analysis report: count of wildcard (*) actions in production policies, trending to zero. AccessAnalyzer findings cleared monthly.",banks; government; healthcare; critical-infrastructure,"Wildcards in production IAM are the most common audit finding. The control is *demonstrated* least-privilege (Access Analyzer says so), not *intended* least-privilege."
r003,ASD Essential 8; ISO/IEC 27001; NIST SP 800-53,Privileged access management (PAM) for breakglass,Identity & access,Cloud · On-prem,"HashiCorp Boundary (oss, HashiCorp); AWS IAM Identity Center + permission sets (managed, AWS); Teleport (commercial, Teleport); CyberArk PAM (commercial, CyberArk); Azure PIM (managed, Azure)",Just-in-time access requests log. Approval audit trail. Session recording for production breakglass. Account-of-last-resort tested quarterly.,banks; government; critical-infrastructure,"E8 ML2+ requires PAM, not 'we have admins with persistent access we trust.'"
r004,HIPAA; EU GDPR; AU Privacy Act; ISO/IEC 27001,MFA enforced for all human access (no exceptions),Identity & access,Identity provider,"Okta (commercial, Okta); Microsoft Entra ID (managed, Microsoft); Google Workspace 2SV / Titan (managed, Google); Duo Security (commercial, Cisco); YubiKey / WebAuthn passkeys (standard, FIDO Alliance)",Conditional access policy export. Zero users with MFA-disabled status. WebAuthn / passkey adoption % trending up; SMS/voice OTP trending to zero.,banks; government; healthcare; critical-infrastructure,SMS-OTP no longer counts as strong MFA per NIST SP 800-63B Revision 4 draft. Passkeys / hardware tokens are the target.
r005,SLSA v1.0; NIST SSDF (800-218); CISA SSA; APRA CPS 234,Signed build provenance (SLSA L2+),Supply chain & provenance,CI/CD,"Sigstore (cosign + Rekor + Fulcio) (oss, OpenSSF); GitHub Actions attestations (managed, GitHub); GitLab CI build attestations (managed, GitLab); Tekton Chains (oss, CDF); in-toto attestations (standard, in-toto)",Signed in-toto / SLSA provenance attached to every production artefact. Rekor transparency log entry for every signed artefact. Verification step in deploy pipeline that *blocks* if signature absent or invalid.,banks; government; healthcare; critical-infrastructure,"SLSA L2 = signed provenance; L3 = hardened builder (isolated, ephemeral). L3 needed for US-federal procurement under CISA SSA in many cases."
r006,NIST SSDF (800-218); CISA SSA; APRA CPS 234; EU DORA; EU NIS2; SOCI Act 2018+,SBOM emission + KEV-driven owner-alert loop,Supply chain & provenance,CI/CD · Runtime,"Syft (SPDX/CycloneDX SBOM) (oss, Anchore); OWASP Dependency-Track (oss, OWASP); GUAC (SBOM graph) (oss, OpenSSF); Chainguard Enforce (commercial, Chainguard); Snyk (commercial, Snyk); Trivy (oss, Aqua Security)","SBOM per artefact stored centrally. CISA KEV catalogue subscribed; on match, owner-of-service alerted within minutes (not central security inbox). MTTR for KEV-listed CVEs measured and trending down.",banks; government; healthcare; critical-infrastructure,Emitting SBOMs is necessary but not sufficient. The audit-passing control is the *loop*: SBOM → vulnerability → owner-alert → patch within SLA. Pure SBOM-collection = shelfware.
r007,SLSA v1.0; NIST SSDF (800-218),Verified image signatures at admission,Supply chain & provenance,K8s admission,"Kyverno (verifyImages) (oss, Kyverno); Sigstore Policy Controller (oss, Sigstore); Connaisseur (oss, SDA); AWS Signer + ECR (managed, AWS)",Admission-controller logs showing rejection of unsigned/untrusted images. Policy-as-code repo defining trusted signers + repositories. Test workload with bad signature must fail.,banks; government; healthcare; critical-infrastructure,"Verifying signatures at deploy-time, not at scan-time. Catches the malicious-rebuild and tampered-mirror attack class."
r008,NIST SSDF (800-218),Hermetic / reproducible builds,Supply chain & provenance,CI/CD,"Bazel (oss, Google); Nix / Nixpkgs (oss, NixOS Foundation); Guix (oss, GNU); Docker BuildKit (with --no-cache + pinned base) (oss, Docker)",Same source produces byte-identical artefact across builds. Diffoscope output showing no drift. CI configured to reject non-hermetic dependencies.,government; critical-infrastructure,Hard to reach for most teams; necessary for the most exposed federal / defence workloads (SLSA L4).
r009,NIST SSDF (800-218); ISO/IEC 27001,Locked dependency versions (no floating tags / ranges in prod),Supply chain & provenance,Source · CI/CD,"Renovate (oss, Mend); Dependabot (managed, GitHub); npm shrinkwrap / package-lock (standard, npm); pip-tools / uv lock (oss, pip / Astral); Bazel maven_install (with shas) (oss, Google)",Lockfile present + committed for every project. CI rejects builds whose lockfile is older than X weeks or where dependencies drift from lock.,banks; government; healthcare; critical-infrastructure,"Floating tags (:latest, ^1.x) make supply chain unsafe at any speed. Lockfile + freshness SLA is the control."
r010,BCBS 239; EU GDPR; AU Privacy Act; HIPAA,Data lineage (column-level),Data governance,Data platform,"OpenLineage (oss, LF AI & Data); Marquez (oss, LF AI & Data); Collibra (commercial, Collibra); dbt + dbt docs lineage graph (commercial, dbt Labs); Atlan (commercial, Atlan); Microsoft Purview (managed, Microsoft)",Column-level lineage graph from source-of-truth to downstream consumers. BCBS 239 risk-aggregation reports traceable to source systems with timestamp.,banks,BCBS 239 has been live since 2016 and is still failed by most G-SIBs at audit. Lineage at column level (not table level) is the bar.
r011,EU GDPR; AU Privacy Act; HIPAA,Data subject access / deletion (DSAR) within statutory window,Data governance,All data stores,"OneTrust (commercial, OneTrust); BigID (commercial, BigID); DataGrail (commercial, DataGrail); Transcend (commercial, Transcend); Custom RPC + queue per data domain (managed, —)",Time-bounded DSAR pipeline. Tested quarterly. Per-data-domain owners with documented response SLAs. Audit log of every DSAR fulfilled.,all,"Statutory windows: GDPR 30 days, AU Privacy Act 30 days (under reform), HIPAA 30 days for access requests. Untested DSAR pipelines fail at first regulator-driven test."
r012,EU GDPR; AU Privacy Act; HIPAA,Data classification + handling rules encoded,Data governance,Data platform · All apps,"Microsoft Purview Information Protection (managed, Microsoft); Google DLP (managed, GCP); AWS Macie (managed, AWS); Immuta (commercial, Immuta); OpenMetadata (with classification tags) (oss, Collate)","Every data asset tagged. Handling rules (encryption, retention, residency) inherited from classification. DLP rules tested via canary records.",all,The control is not 'we have a data classification standard'. It's 'every dataset wears its classification and the platform enforces handling rules.'
r013,EU GDPR; AU Privacy Act,Data residency / sovereignty (per-tenant region pinning),Data governance,Cloud infra,"AWS Local Zones / AWS Wavelength (managed, AWS); Azure sovereign cloud regions (managed, Azure); GCP region restrictions (Org Policy) (managed, GCP); Cloudflare data localisation suite (managed, Cloudflare)",Tenant-to-region routing table. Network policies that block egress to other regions. Sample request trace showing data stays in-region end-to-end.,banks; government; healthcare,Soft-residency (claim) vs hard-residency (architecturally enforceable). Auditors increasingly want the latter.
r014,EU AI Act; ISO/IEC 42001; NIST AI RMF; AU AI Safety Std,Eval-set gating in CI for AI applications,AI evals & guardrails,CI/CD,"Promptfoo (oss, Promptfoo); LangSmith (eval suites) (commercial, LangChain); Langfuse (oss, Langfuse); OpenAI Evals (oss, OpenAI); DeepEval (oss, Confident AI); Inspect AI (oss, UK AISI)",Versioned eval set per prompt + model + version. CI run on every change that touches prompt or model. Merge blocked on critical-regression. Eval-set drift report quarterly.,banks; government; healthcare; critical-infrastructure,EU AI Act Art. 15 (accuracy / robustness) is enforceable only with eval-set discipline. NIST AI RMF MEASURE function depends on it.
